Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
India,Delhi,Traditional (North Indian),Casual Party,Pastel,Modern,Floral dhoti pants with kurti
India,Bangalore,Traditional (South Indian),Wedding,Red,Modern,Beaded saree gown
Malaysia,Kuching,Indian,Casual Party,Pastel,Traditional,Block Print casual salwar kameez
India,Mumbai,Western,Wedding,Gold,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
USA,Miami,Western,Office Meeting,Black,Traditional,Solid blouse with long skirt
Malaysia,Kuantan,Malay,Office Meeting,Light Blue,Modern,Solid tunic with pants
Malaysia,Ipoh,Chinese,Wedding,Red,Modern,Beaded sequined cheongsam
Japan,Osaka,Traditional Japanese,Office Meeting,Earth Tones,Modern,Solid pantsuit
USA,New York,Western,Wedding,Gold,Modern,Embroidered gold strapless gown with crystal embellishments
Sri Lanka,Colombo,Western,Wedding,Gold,Traditional,Lace pleated midi skirt with a blouse and matching bolero
Sri Lanka,Colombo,Western,Casual Party,Blue,Traditional,Abstract midi skirt with a sweater and kitten heels
USA,Chicago,Black,Casual Party,Bright,Modern,Ankara Print high-waisted pants with Kente cloth details
Japan,Tokyo,Western,Casual Party,Pink,Traditional,Striped sweater dress with tights and ankle boots
Malaysia,Kuching,Indian,Wedding,Gold,Modern,Zari Anarkali gown
Malaysia,Kuching,Chinese,Office Meeting,White,Modern,Minimal Embroidery cheongsam-inspired dress
England,Manchester,Western,Casual Party,Blue,Modern,Polka dot maxi skirt with a fitted tank top and flats
England,Manchester,Western,Casual Party,Red,Traditional,Abstract midi skirt with a sweater and kitten heels
Malaysia,Ipoh,Indian,Office Meeting,Earth Tones,Modern,Minimal Embroidery saree with simple border
India,Chennai,Traditional (South Indian),Casual Party,Bright,Traditional,Batik handloom saree
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Gold,Modern,Beaded ball gown
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Black,Modern,Minimal Embroidery maxi skirt with blouse
Malaysia,Kuantan,Malay,Office Meeting,Pastel,Modern,Solid baju kurung with simple patterns
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,Cream,Traditional,Beaded Kandyan saree
USA,Houston,Western,Wedding,Pastel,Traditional,Beaded knee-length lace dress with cap sleeves
USA,Chicago,Black,Wedding,Gold,Modern,Kente Patterns one-shoulder gown with bold geometric patterns
England,Manchester,African/Caribbean,Office Meeting,Navy,Modern,Solid shift dress with scarf
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Pastel,Modern,Printed palazzo pants with top
USA,Houston,Western,Wedding,Gold,Modern,Embroidered silk crepe slip dress with cowl neckline
Malaysia,Ipoh,Malay,Wedding,Gold,Traditional,Lace brocade baju kurung
England,Bristol,Western,Wedding,Ivory,Traditional,Lace sleeveless pleated dress with a belted waist
India,Mumbai,Traditional (North Indian),Casual Party,Pastel,Traditional,Printed chikankari kurti with leggings
USA,Chicago,Black,Wedding,Gold,Modern,Ankara Print sequin gown with Ankara print detailing
Malaysia,Ipoh,Malay,Casual Party,Pastel,Modern,Printed maxi dress
Malaysia,Kuantan,Malay,Office Meeting,Light Blue,Modern,Minimal Embroidery modern kebaya
England,London,Western,Office Meeting,Gray,Modern,Pinstripe wrap dress
USA,Chicago,Latino,Casual Party,Vibrant,Modern,Floral crop top with high-waisted shorts
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Printed kimono-style abaya
Japan,Kyoto,Traditional Japanese,Casual Party,Pastel,Traditional,Geometric komon kimono with obi
England,Manchester,African/Caribbean,Casual Party,Orange,Traditional,Tribal Ankara tunic with leggings
USA,Miami,Western,Office Meeting,Beige,Traditional,Pinstripe knee-length skirt with blouse
Sri Lanka,Colombo,Western,Office Meeting,Gray,Modern,Checkered culottes with shirt
Japan,Osaka,Traditional Japanese,Wedding,Silver,Modern,Floral asymmetrical dress
Malaysia,Kuching,Chinese,Casual Party,Bright,Modern,Floral tunic with leggings
USA,Houston,Western,Wedding,Pastel,Modern,Embroidered silver beaded sheath gown
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Gold,Modern,Beaded gown with cape
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Red,Modern,Zari off-shoulder dress
Malaysia,Kuching,Chinese,Wedding,Gold,Traditional,Traditional Motifs kwa (traditional wedding dress)
USA,New York,Western,Office Meeting,Black,Modern,Pinstripe business suit
Japan,Tokyo,Traditional Japanese,Wedding,Gold,Traditional,Embroidered hikifurisode
England,Manchester,Western,Casual Party,Blue,Modern,Floral jumpsuit with bold patterns and ankle boots
England,Manchester,African/Caribbean,Wedding,Turquoise,Modern,Kente asymmetrical hem dress
England,Manchester,African/Caribbean,Wedding,Turquoise,Modern,Kente halter-neck dress with beadwork
USA,Chicago,Western,Casual Party,Blue,Modern,Abstract off-shoulder blouse with high-waisted jeans and heels
England,Manchester,Western,Office Meeting,Beige,Modern,Solid culottes with shirt
USA,Chicago,Black,Casual Party,Vibrant,Traditional,Geometric dashiki dress
USA,Chicago,Latino,Wedding,Orange,Traditional,Ruffles tiered skirt gown with lace accents
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered silk kaftan with belt
Malaysia,Ipoh,Chinese,Casual Party,Bright,Traditional,Printed silk blouse with skirt
USA,New York,Western,Casual Party,Blue,Traditional,Floral midi skirt with a sweater and kitten heels
Sri Lanka,Colombo,Western,Casual Party,Red,Modern,Polka dot jumpsuit with bold patterns and ankle boots
India,Mumbai,Traditional (North Indian),Office Meeting,Pastel,Modern,Solid straight-cut suit
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Cream,Modern,Minimal Embroidery blazer dress with sleek lines and light embellishments
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Earth Tones,Modern,Printed printed romper
USA,Miami,Western,Wedding,Gold,Traditional,Lace conservative high-neck sheath dress with a pearl collar
England,London,African/Caribbean,Office Meeting,Brown,Traditional,Subtle Prints batik print suit
England,Manchester,Western,Casual Party,Red,Modern,Polka dot maxi skirt with a fitted tank top and flats
Malaysia,Ipoh,Malay,Casual Party,Bright,Traditional,Batik batik print skirt with top
Malaysia,Kuantan,Malay,Wedding,Silver,Traditional,Lace songket baju kurung
USA,Miami,Latino,Office Meeting,Cream,Modern,Solid sleeveless blouse with cardigan
USA,Houston,Western,Casual Party,Yellow,Modern,Floral jumpsuit with bold patterns and ankle boots
USA,New York,Western,Casual Party,Red,Traditional,Floral cardigan over a dress with Mary Jane shoes
India,Mumbai,Traditional (North Indian),Wedding,Gold,Modern,Zari crop top with skirt
England,Bristol,South Asian,Wedding,Gold,Traditional,Beaded Bandhani saree
Japan,Kyoto,Traditional Japanese,Wedding,Silver,Modern,Floral ball gown with sleeves
India,Delhi,Traditional (North Indian),Casual Party,Vibrant,Modern,Printed Anarkali
USA,Houston,Black,Wedding,Bright,Traditional,Ankara Print Ashanti Kente gown
England,London,African/Caribbean,Office Meeting,Navy,Modern,Subtle Prints blazer with bright lining
England,London,African/Caribbean,Office Meeting,Gray,Modern,Subtle Prints button-down shirt with statement necklace
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Gray,Modern,Minimal Embroidery blazer with modest dress
India,Bangalore,Traditional (South Indian),Wedding,Gold,Modern,Zari off-shoulder dress
England,Bristol,Western,Office Meeting,Navy,Modern,Pinstripe ankle-length trousers with blouse
India,Mumbai,Western,Casual Party,Green,Traditional,Floral midi skirt with a sweater and kitten heels
Malaysia,Kuantan,Malay,Office Meeting,Pastel,Traditional,Solid baju kurung teluk belanga
England,Manchester,Western,Casual Party,Red,Traditional,Floral turtleneck sweater with a pleated skirt and loafers
USA,New York,Latino,Wedding,Gold,Traditional,Lace mantilla veil paired with an embroidered gown
USA,Houston,Western,Office Meeting,Gray,Modern,Checkered blazer dress
Malaysia,Kuching,Indian,Casual Party,Pastel,Modern,Block Print cold shoulder kurti
Japan,Tokyo,Western,Casual Party,Yellow,Modern,Polka dot jeans with a stylish off-shoulder top and wedges
USA,Houston,Black,Office Meeting,Brown,Traditional,Subtle Ankara Print African print maxi skirt with top
England,Bristol,Western,Office Meeting,Gray,Traditional,Pinstripe midi skirt with jacket
USA,Houston,Black,Office Meeting,Navy,Traditional,Subtle Ankara Print Kaftan with embroidery
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Modern,Embroidered Anarkali gown
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Pastel,Modern,Floral cold shoulder kurti
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Modern,Beaded ball gown
USA,New York,Western,Casual Party,Pink,Modern,Floral maxi skirt with a fitted tank top and flats
Malaysia,Kuching,Indian,Casual Party,Pastel,Traditional,Floral handloom saree
USA,Chicago,Latino,Casual Party,Bright,Modern,Frills maxi dress with slit
Sri Lanka,Colombo,Western,Wedding,Gold,Modern,Embroidered asymmetrical tulle dress with floral appliqués
India,Chennai,Traditional (South Indian),Wedding,Green,Modern,Embroidered fusion wear outfit
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Bright,Modern,Batik jumpsuit
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Cream,Modern,Minimal Embroidery formal salwar kameez
USA,Chicago,Black,Wedding,Kente Colors,Modern,Kente Patterns lace dress with tribal print accents
England,Bristol,Western,Office Meeting,Gray,Traditional,Solid midi skirt with jacket
India,Delhi,Traditional (North Indian),Wedding,Maroon,Traditional,Beaded bridal lehenga
India,Mumbai,Western,Wedding,Pastel,Traditional,Embroidered floral A-line dress with a matching shawl
India,Bangalore,Traditional (South Indian),Wedding,Gold,Traditional,Beaded saree with intricate motifs
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Modern,Embroidered fusion wear dress
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Red,Traditional,Zari half-saree
USA,Miami,Western,Office Meeting,Navy,Traditional,Solid midi skirt with jacket
Japan,Osaka,Traditional Japanese,Casual Party,Bright,Modern,Traditional Prints tunic with leggings
USA,New York,Western,Office Meeting,Gray,Traditional,Checkered twinset with skirt
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Gold,Traditional,Sequined traditional kaftan
USA,Chicago,Black,Office Meeting,Earth Tones,Traditional,Solid boubou dress
India,Mumbai,Traditional (North Indian),Office Meeting,Pastel,Traditional,Minimal Embroidery phulkari dupatta with suit
India,Bangalore,Traditional (South Indian),Casual Party,Pastel,Traditional,Printed batik print kurti with palazzos
USA,Chicago,Black,Casual Party,Vibrant,Traditional,Geometric gele with maxi dress
Japan,Tokyo,Western,Casual Party,Green,Modern,Polka dot jumpsuit with bold patterns and ankle boots
USA,New York,Latino,Casual Party,Vibrant,Traditional,Geometric off-shoulder dress with belt
USA,Houston,Black,Casual Party,Bright,Modern,Geometric sleeveless blouse with subtle tribal motifs
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Gold,Traditional,Lace Kandyan saree
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Beige,Traditional,Solid traditional jalabiya
USA,New York,Latino,Casual Party,Bright,Traditional,Floral blouse with flared sleeves
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Bright,Traditional,Batik kurti with leggings
India,Mumbai,Traditional (North Indian),Casual Party,Bright,Modern,Block Print churidar
Japan,Tokyo,Western,Casual Party,Green,Modern,Abstract jumpsuit with bold patterns and ankle boots
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Traditional,Geometric komon kimono with obi
Malaysia,Kuantan,Malay,Office Meeting,Cream,Modern,Minimal Embroidery baju kebaya with trousers
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Floral casual abaya
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Minimal Embroidery traditional jalabiya
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Cream,Traditional,Embroidered saree with intricate beadwork
India,Mumbai,Traditional (North Indian),Casual Party,Pastel,Traditional,Block Print phulkari dupatta with suit
USA,Chicago,Western,Casual Party,Red,Modern,Abstract romper with lace details and strappy heels
Malaysia,Ipoh,Chinese,Office Meeting,Black,Traditional,Minimal Embroidery mandarin collar dress
Malaysia,Ipoh,Chinese,Casual Party,Multicolor,Traditional,Printed embroidered jacket with pants
England,Bristol,Western,Office Meeting,Black,Traditional,Pinstripe knee-length skirt with blouse
Malaysia,Kuching,Malay,Casual Party,Bright,Modern,Printed stylish baju kurung
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Geometric jalabiya with minimal embroidery
Malaysia,Ipoh,Malay,Office Meeting,Cream,Modern,Minimal Embroidery formal dress with hijab
England,Manchester,Western,Office Meeting,Black,Modern,Solid wrap dress
Sri Lanka,Colombo,Western,Wedding,Pastel,Traditional,Lace tea-length silk dress with a jacket
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Floral modest dress with hijab
Sri Lanka,Colombo,Western,Office Meeting,Black,Traditional,Solid sweater dress
USA,Miami,Latino,Casual Party,Vibrant,Traditional,Geometric fringed shawl over dress
England,Bristol,Western,Casual Party,Green,Modern,Floral crop top with high-waisted pants and block heels
England,Manchester,Western,Casual Party,Red,Modern,Abstract denim skirt with a graphic tee and sneakers
England,London,Western,Office Meeting,Black,Modern,Solid wrap dress
India,Delhi,Traditional (North Indian),Office Meeting,Earth Tones,Modern,Minimal Embroidery straight-cut suit
Japan,Tokyo,Western,Casual Party,Pink,Modern,Polka dot sundress with floral prints and sandals
Japan,Tokyo,Western,Wedding,Pastel,Traditional,Lace classic wrap dress with a subtle floral pattern
USA,New York,Western,Casual Party,Green,Modern,Abstract leggings with an oversized tunic and ballet flats
India,Delhi,Traditional (North Indian),Wedding,Gold,Modern,Sequined gown with ethnic embroidery
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Emerald,Modern,Sequined evening gown
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Bright,Modern,Printed jeans with tunic
Sri Lanka,Colombo,Western,Casual Party,Pink,Traditional,Floral cardigan over a dress with Mary Jane shoes
USA,Miami,Western,Casual Party,Blue,Traditional,Floral conservative shift dress with a belt and pumps
USA,New York,Western,Office Meeting,Black,Traditional,Checkered sweater dress
USA,New York,Western,Wedding,Ivory,Modern,Embroidered asymmetrical tulle dress with floral appliqués
England,Manchester,Western,Office Meeting,Black,Traditional,Solid conservative dress
England,Manchester,Western,Wedding,Gold,Modern,Embroidered gold strapless gown with crystal embellishments
Japan,Tokyo,Western,Office Meeting,Beige,Traditional,Checkered blouse with long skirt
USA,New York,Western,Wedding,Ivory,Modern,Beaded silk crepe slip dress with cowl neckline
Japan,Tokyo,Traditional Japanese,Casual Party,Bright,Modern,Geometric crop top with high-waisted pants
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Gold,Modern,Beaded sequin dress
USA,Chicago,Western,Wedding,Ivory,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
USA,Houston,Western,Wedding,Ivory,Traditional,Beaded classic wrap dress with a subtle floral pattern
England,Bristol,Western,Casual Party,Blue,Traditional,Abstract blouse with a long skirt and low heels
England,London,Western,Casual Party,Blue,Traditional,Striped knee-length skirt with a blouse and pearl necklace
India,Mumbai,Western,Wedding,Ivory,Modern,Beaded gold strapless gown with crystal embellishments
England,Bristol,South Asian,Casual Party,Pastel,Modern,Printed cold shoulder kurti
Malaysia,Kuantan,Malay,Casual Party,Pastel,Traditional,Printed lace kebaya with skirt
Malaysia,Ipoh,Indian,Office Meeting,Cream,Traditional,Minimal Embroidery phulkari dupatta with suit
USA,New York,Latino,Wedding,Gold,Modern,Embroidered off-shoulder dress with floral embroidery
Malaysia,Ipoh,Indian,Casual Party,Pastel,Modern,Block Print palazzo pants with tunic
India,Bangalore,Traditional (South Indian),Casual Party,Vibrant,Traditional,Batik kerala saree
USA,New York,Western,Wedding,White,Traditional,Embroidered pleated midi skirt with a blouse and matching bolero
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Pastel,Traditional,Solid half saree
India,Chennai,Traditional (South Indian),Casual Party,Vibrant,Traditional,Floral simple salwar
England,Manchester,African/Caribbean,Office Meeting,Brown,Modern,Subtle Prints midi dress with belt
England,Bristol,Western,Office Meeting,Black,Traditional,Pinstripe conservative dress
Japan,Tokyo,Western,Casual Party,Green,Traditional,Abstract midi skirt with a sweater and kitten heels
England,Manchester,Western,Casual Party,Blue,Traditional,Abstract blouse with a long skirt and low heels
USA,Houston,Western,Casual Party,Green,Traditional,Polka dot cardigan over a dress with Mary Jane shoes
India,Mumbai,Western,Casual Party,Green,Modern,Floral crop top with high-waisted pants and block heels
India,Bangalore,Traditional (South Indian),Wedding,Green,Modern,Embroidered saree gown
England,Bristol,South Asian,Wedding,Pink,Traditional,Embroidered Bandhani saree
Malaysia,Kuching,Indian,Wedding,Gold,Modern,Sequined fancy saree
Malaysia,Ipoh,Malay,Wedding,Maroon,Modern,Lace ball gown with sleeves
USA,Houston,Black,Casual Party,Bright,Traditional,Geometric beaded necklace with dress
India,Mumbai,Western,Wedding,Gold,Traditional,Beaded conservative high-neck sheath dress with a pearl collar
England,Manchester,Western,Casual Party,Red,Modern,Polka dot sundress with floral prints and sandals
England,Bristol,South Asian,Casual Party,Bright,Traditional,Printed chikankari kurti with leggings
USA,Houston,Western,Wedding,Silver,Traditional,Beaded knee-length lace dress with cap sleeves
USA,Miami,Western,Casual Party,Yellow,Modern,Polka dot maxi skirt with a fitted tank top and flats
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Bright,Modern,Printed wrap dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Modern,Embroidered lace dress
USA,Chicago,Western,Wedding,Silver,Modern,Beaded silk crepe slip dress with cowl neckline
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Pastel,Modern,Minimal Embroidery culottes with fitted shirt and understated accents
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Pastel,Traditional,Batik cotton saree
USA,Miami,Western,Wedding,Pastel,Traditional,Lace long-sleeve chiffon dress with an empire waist
India,Bangalore,Traditional (South Indian),Casual Party,Bright,Traditional,Printed handloom saree
Japan,Tokyo,Traditional Japanese,Wedding,Gold,Modern,Floral gown with cape
Japan,Kyoto,Traditional Japanese,Wedding,Silver,Modern,Embroidered Western-style wedding dress
USA,Chicago,Black,Wedding,Kente Colors,Traditional,Beaded Kente cloth dress
India,Mumbai,Western,Wedding,White,Traditional,Embroidered conservative high-neck sheath dress with a pearl collar
USA,Miami,Western,Wedding,Pastel,Modern,Lace asymmetrical tulle dress with floral appliqués
India,Mumbai,Western,Casual Party,Pink,Traditional,Striped button-up shirt with tailored trousers and loafers
Malaysia,Kuching,Indian,Casual Party,Pastel,Modern,Floral high-low hem dress
Malaysia,Kuching,Chinese,Wedding,Gold,Traditional,Traditional Motifs traditional qipao
Sri Lanka,Colombo,Western,Wedding,White,Traditional,Beaded long-sleeve chiffon dress with an empire waist
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,Maroon,Traditional,Beaded veil with saree
USA,Houston,Western,Casual Party,Green,Traditional,Striped twinset with a pencil skirt and classic pumps
India,Chennai,Traditional (South Indian),Casual Party,Vibrant,Traditional,Batik handloom saree
Malaysia,Kuching,Indian,Casual Party,Pastel,Traditional,Block Print kantha work saree
India,Delhi,Traditional (North Indian),Wedding,Maroon,Modern,Beaded Anarkali gown
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Beaded gown with veil and hijab
India,Bangalore,Traditional (South Indian),Office Meeting,Pastel,Traditional,Solid silk saree
USA,Chicago,Latino,Office Meeting,White,Modern,Solid business suit
USA,New York,Western,Office Meeting,Beige,Traditional,Pinstripe midi skirt with jacket
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Emerald,Modern,Embroidered embellished A-line gown
India,Mumbai,Western,Wedding,Pastel,Modern,Beaded gold strapless gown with crystal embellishments
Malaysia,Kuching,Indian,Casual Party,Vibrant,Modern,Floral high-low hem dress
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Gray,Modern,Solid shirt dress with belt
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Printed hijab with maxi dress
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Modern,Geometric shirt dress with leggings
Japan,Osaka,Traditional Japanese,Casual Party,Pastel,Traditional,Traditional Prints kimono with sash
Japan,Tokyo,Western,Casual Party,Yellow,Modern,Polka dot sundress with floral prints and sandals
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Earth Tones,Traditional,Printed sarong with blouse
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Beige,Modern,Minimal Embroidery sleeveless blouse with cardigan and traditional motif
Sri Lanka,Colombo,Western,Wedding,Ivory,Traditional,Beaded tea-length silk dress with a jacket
India,Mumbai,Western,Office Meeting,Gray,Traditional,Checkered blouse with long skirt
India,Chennai,Traditional (South Indian),Casual Party,Vibrant,Traditional,Printed simple salwar
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Floral maxi dress
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Traditional,Geometric short kimono with leggings
USA,Chicago,Western,Casual Party,Yellow,Modern,Floral sundress with floral prints and sandals
USA,New York,Latino,Wedding,Orange,Modern,Embroidered halter-neck dress with intricate embroidery
USA,Miami,Latino,Casual Party,Vibrant,Traditional,Floral peasant blouse with skirt
India,Bangalore,Traditional (South Indian),Office Meeting,Cream,Traditional,Solid saree with temple design
Malaysia,Kuching,Chinese,Wedding,Silver,Modern,Embroidered gown with mandarin collar
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Cream,Traditional,Solid saree with traditional motifs and lightly embroidered borders
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Bright,Modern,Batik wrap dress
USA,New York,Western,Wedding,Pastel,Traditional,Beaded pastel midi dress with a modest neckline
England,Bristol,South Asian,Office Meeting,Earth Tones,Modern,Solid long tunic with leggings
England,Bristol,Western,Casual Party,Yellow,Traditional,Polka dot button-up shirt with tailored trousers and loafers
Japan,Tokyo,Traditional Japanese,Wedding,White,Modern,Floral evening gown
India,Bangalore,Traditional (South Indian),Casual Party,Pastel,Traditional,Printed mirror work blouse with saree
USA,Chicago,Black,Wedding,Bright,Modern,Beaded lace dress with tribal print accents
England,London,Western,Wedding,White,Modern,Lace embroidered illusion gown with lace details
USA,Miami,Western,Office Meeting,Navy,Modern,Checkered blazer dress
USA,Miami,Latino,Office Meeting,Brown,Modern,Solid sleeveless blouse with cardigan
USA,New York,Western,Wedding,Ivory,Modern,Beaded silver beaded sheath gown
USA,Miami,Latino,Wedding,Orange,Modern,Lace halter-neck dress with intricate embroidery
India,Mumbai,Western,Office Meeting,Gray,Modern,Checkered pencil skirt with blouse
Sri Lanka,Colombo,Western,Casual Party,Red,Traditional,Striped conservative shift dress with a belt and pumps
Malaysia,Kuching,Chinese,Wedding,Red,Modern,Embroidered gown with embroidery
USA,Chicago,Black,Office Meeting,Earth Tones,Traditional,Subtle Ankara Print gele headwrap with dress
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Earth Tones,Modern,Batik skirt with embroidered top
USA,New York,Latino,Wedding,Orange,Modern,Embroidered maxi dress with a high slit and lace accents
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Silver,Traditional,Embroidered embroidered abaya
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Printed jalabiya with minimal embroidery
USA,New York,Latino,Wedding,Orange,Traditional,Embroidered red silk dress with intricate embroidery
Malaysia,Kuching,Chinese,Office Meeting,Black,Traditional,Minimal Embroidery mandarin collar dress
Japan,Kyoto,Traditional Japanese,Wedding,Red,Traditional,Floral hikifurisode
USA,Chicago,Latino,Office Meeting,Beige,Modern,Subtle Embroidery blazer with embroidered details
USA,Miami,Western,Casual Party,Blue,Modern,Polka dot maxi skirt with a fitted tank top and flats
USA,Chicago,Black,Wedding,Vibrant,Modern,Kente Patterns asymmetrical gown with beaded accents
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Solid cloak with dress
India,Delhi,Traditional (North Indian),Wedding,Maroon,Modern,Embroidered fancy saree
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Gray,Modern,Minimal Embroidery long sleeve blouse with trousers
Japan,Tokyo,Western,Wedding,White,Traditional,Beaded conservative high-neck sheath dress with a pearl collar
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Black,Modern,Solid pantsuit with hijab
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Geometric embroidered shawl with dress
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Gold,Modern,Sequined ball gown with sleeves
Japan,Kyoto,Traditional Japanese,Wedding,Gold,Traditional,Embroidered gold embroidered kimono
Japan,Kyoto,Traditional Japanese,Wedding,Red,Modern,Floral ball gown with sleeves
Sri Lanka,Colombo,Western,Office Meeting,Navy,Traditional,Checkered twinset with skirt
USA,New York,Western,Casual Party,Green,Traditional,Abstract knee-length skirt with a blouse and pearl necklace
Sri Lanka,Colombo,Western,Wedding,Ivory,Modern,Beaded gold strapless gown with crystal embellishments
India,Mumbai,Traditional (North Indian),Casual Party,Vibrant,Modern,Printed palazzo pants with tunic
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Gold,Modern,Embroidered off-shoulder gown
Sri Lanka,Colombo,Western,Casual Party,Blue,Modern,Striped off-shoulder blouse with high-waisted jeans and heels
Sri Lanka,Colombo,Western,Wedding,Gold,Traditional,Embroidered knee-length lace dress with cap sleeves
England,Manchester,Western,Casual Party,Red,Traditional,Floral floral A-line dress with a cardigan and ballet flats
USA,Houston,Western,Office Meeting,Beige,Traditional,Checkered dress with pantyhose
England,Manchester,African/Caribbean,Wedding,Purple,Modern,Beaded lace dress
USA,Miami,Latino,Casual Party,Bright,Modern,Frills jumpsuit with ruffles
India,Mumbai,Western,Office Meeting,Black,Traditional,Solid twinset with skirt
England,Bristol,South Asian,Wedding,Red,Traditional,Beaded heavy embroidered lehenga
USA,Miami,Western,Casual Party,Yellow,Modern,Striped crop top with high-waisted pants and block heels
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Cream,Traditional,Solid saree with zari border
USA,New York,Western,Wedding,Gold,Traditional,Lace tea-length silk dress with a jacket
Japan,Tokyo,Traditional Japanese,Office Meeting,Pastel,Modern,Subtle Patterns blouse with kimono sleeves
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Beige,Modern,Solid shirt dress with belt
India,Delhi,Traditional (North Indian),Casual Party,Vibrant,Traditional,Printed printed saree
Japan,Tokyo,Traditional Japanese,Office Meeting,Muted,Traditional,Subtle Patterns tsukesage kimono
Malaysia,Ipoh,Chinese,Office Meeting,White,Modern,Minimal Embroidery skirt suit with Chinese motifs
Malaysia,Ipoh,Indian,Casual Party,Bright,Modern,Printed dhoti pants with kurti
Malaysia,Kuantan,Malay,Casual Party,Multicolor,Modern,Printed tunic with leggings
Japan,Tokyo,Traditional Japanese,Wedding,Red,Traditional,Floral tsunokakushi (bridal headdress)
England,Manchester,African/Caribbean,Wedding,Purple,Modern,Ankara asymmetrical hem dress
England,Manchester,African/Caribbean,Office Meeting,Brown,Modern,Solid button-down shirt with statement necklace
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Red,Modern,Embroidered fusion wear outfit
Malaysia,Ipoh,Indian,Office Meeting,Pastel,Modern,Minimal Embroidery saree with simple border
Malaysia,Ipoh,Indian,Office Meeting,Cream,Modern,Minimal Embroidery churidar with long top
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined silk kaftan with belt
